#SOLVER	GUROBI
#METHOD	
#TOLERANCE	1e-08
#GROWTH	0.87392150696843	BIOMASS_Ecoli_core_w_GAM
#GROWTH_SUB	0.87392150696843	BIOMASS_Ecoli_core_w_GAM
ACALD	A
ACALDt	A
ACKr	A
ACONTa	A
ACONTb	A
ACt2r	A
ADK1	A
AKGDH	A
AKGt2r	A
ALCD2x	A
ATPM	A
ATPS4r	A
BIOMASS_EXT	A
BIOMASS_Ecoli_core_w_GAM	A
CO2t	A
CS	A
CYTBD	A
D_LACt2	A
ENO	A
ETOHt2r	A
EX_ac_e	A
EX_acald_e	A
EX_akg_e	A
EX_co2_e	A
EX_etoh_e	A
EX_for_e	A
EX_fru_e	a
EX_fum_e	a
EX_glc__D_e	A
EX_gln__L_e	a
EX_glu__L_e	A
EX_h2o_e	A
EX_h_e	A
EX_lac__D_e	A
EX_mal__L_e	a
EX_nh4_e	A
EX_o2_e	A
EX_pi_e	A
EX_pyr_e	A
EX_succ_e	A
FBA	A
FBP	A
FORt	A
FORt2	A
FRD7	A
FRUpts2	a
FUM	A
FUMt2_2	a
G6PDH2r	A
GAPD	A
GLCpts	A
GLNS	A
GLNabc	a
GLUDy	A
GLUN	A
GLUSy	A
GLUt2r	A
GND	A
H2Ot	A
ICDHyr	A
ICL	A
LDH_D	A
MALS	A
MALt2_2	a
MDH	A
ME1	A
ME2	A
NADH16	A
NADTRHD	A
NH4t	A
O2t	A
PDH	A
PFK	A
PFL	A
PGI	A
PGK	A
PGL	A
PGM	A
PIt2r	A
PPC	A
PPCK	A
PPS	A
PTAr	A
PYK	A
PYRt2	A
RPE	A
RPI	A
SUCCt2_2	A
SUCCt3	A
SUCDi	A
SUCOAS	A
TALA	A
THD2	A
TKT1	A
TKT2	A
TPI	A
