#MetaNetX/TSV/chemicals.tsv 1.1
#ID    name    source    formula    mass    charge    xrefs
BIOMASS	BIOMASS	BIOMASS@c				mnx:BIOMASS;BIOMASS;inchikey:;seed.compound:cpd11416;seedM:M_cpd11416;seedM:cpd11416
MNXM01	PMF		H	1.00794	1	mnx:PMF;MNXM01;inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N
MNXM1	H(+)	M_h_c;M_h_e	H	1.00794	1	mnx:PROTON;CHEBI:15378;CHEBI:24636;CHEBI:29233;CHEBI:29234;MNXM1;bigg.metabolite:h;biggM:M_h;biggM:h;chebi:10744;chebi:13357;chebi:15378;chebi:24636;chebi:29233;chebi:29234;chebi:5584;hmdb:HMDB0059597;hmdb:HMDB59597;inchikey:GPRLSGONYQIRFK-UHFFFAOYSA-N;kegg.compound:C00080;keggC:C00080;keggC:M_C00080;metacyc.compound:PROTON;metacycM:PROTON;reactome:R-ALL-1132304;reactome:R-ALL-113529;reactome:R-ALL-1470067;reactome:R-ALL-156540;reactome:R-ALL-1614597;reactome:R-ALL-163953;reactome:R-ALL-193465;reactome:R-ALL-194688;reactome:R-ALL-2000349;reactome:R-ALL-2429673;reactome:R-ALL-2872447;reactome:R-ALL-351626;reactome:R-ALL-372511;reactome:R-ALL-374900;reactome:R-ALL-425969;reactome:R-ALL-425978;reactome:R-ALL-425999;reactome:R-ALL-427899;reactome:R-ALL-428040;reactome:R-ALL-428548;reactome:R-ALL-5228597;reactome:R-ALL-5244410;reactome:R-ALL-5668577;reactome:R-ALL-70106;reactome:R-ALL-74722;reactomeM:R-ALL-1132304;reactomeM:R-ALL-113529;reactomeM:R-ALL-1470067;reactomeM:R-ALL-156540;reactomeM:R-ALL-1614597;reactomeM:R-ALL-163953;reactomeM:R-ALL-193465;reactomeM:R-ALL-194688;reactomeM:R-ALL-2000349;reactomeM:R-ALL-2429673;reactomeM:R-ALL-2872447;reactomeM:R-ALL-351626;reactomeM:R-ALL-372511;reactomeM:R-ALL-374900;reactomeM:R-ALL-425969;reactomeM:R-ALL-425978;reactomeM:R-ALL-425999;reactomeM:R-ALL-427899;reactomeM:R-ALL-428040;reactomeM:R-ALL-428548;reactomeM:R-ALL-5228597;reactomeM:R-ALL-5244410;reactomeM:R-ALL-5668577;reactomeM:R-ALL-70106;reactomeM:R-ALL-74722;sabiork.compound:39;sabiorkM:39;seed.compound:cpd00067;seedM:M_cpd00067;seedM:cpd00067;vmhmetabolite:HC02115;vmhmetabolite:h
MNXM10	NADH	M_nadh_c	C21H27N7O14P2	663.11022	-2	chebi:57945;CHEBI:16908;CHEBI:57945;bigg.metabolite:nadh;biggM:M_nadh;biggM:nadh;chebi:13395;chebi:13396;chebi:16908;chebi:21902;chebi:44216;chebi:7423;hmdb:HMDB0001487;hmdb:HMDB01487;inchikey:BOPGDPNILDQYTO-NNYOXOHSSA-L;kegg.compound:C00004;keggC:C00004;keggC:M_C00004;metacyc.compound:NADH;metacycM:NADH;reactome:R-ALL-192305;reactome:R-ALL-194697;reactome:R-ALL-29362;reactome:R-ALL-73473;reactomeM:R-ALL-192305;reactomeM:R-ALL-194697;reactomeM:R-ALL-29362;reactomeM:R-ALL-73473;sabiork.compound:38;sabiorkM:38;seed.compound:cpd00004;seedM:M_cpd00004;seedM:cpd00004;vmhmetabolite:HC02112;vmhmetabolite:nadh
MNXM1092518	cis-aconitate	M_acon_C_c	C6H3O6	170.99461	-3	chebi:16383;CHEBI:16383;CHEBI:32805;bigg.metabolite:HC00342;bigg.metabolite:acon;bigg.metabolite:acon_C;biggM:HC00342;biggM:M_HC00342;biggM:M_acon;biggM:M_acon_C;biggM:acon;biggM:acon_C;chebi:10482;chebi:12798;chebi:23306;chebi:23308;chebi:32805;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/643481e5-a35b-477e-8665-70f4dca66baa;envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/643481e5-a35b-477e-8665-70f4dca66baa;hmdb:HMDB0000072;hmdb:HMDB0000461;hmdb:HMDB00072;hmdb:HMDB00461;inchikey:GTZCVFVGUGFEME-IWQZZHSRSA-K;kegg.compound:C00417;keggC:C00417;keggC:M_C00417;metacyc.compound:CIS-ACONITATE;metacycM:CIS-ACONITATE;sabiork.compound:2043;sabiorkM:2043;seed.compound:cpd00331;seedM:M_cpd00331;seedM:cpd00331;vmhmetabolite:HC00342
MNXM1104056	alpha-D-ribose 5-phosphate	M_r5p_c	C5H11O8P	230.01915	0	chebi:18189;CHEBI:140679;CHEBI:18189;CHEBI:52742;CHEBI:78346;bigg.metabolite:r5p;biggM:M_r5p;biggM:r5p;chebi:10270;chebi:12331;chebi:140679;chebi:22413;chebi:52742;chebi:78346;hmdb:HMDB0001548;hmdb:HMDB01548;inchikey:KTVPXOYAKDPRHY-AIHAYLRMSA-N;kegg.compound:C00117;kegg.compound:C03736;keggC:C00117;keggC:C03736;keggC:M_C00117;keggC:M_C03736;metacyc.compound:CPD-15317;metacyc.compound:CPD-15318;metacycM:CPD-15317;metacycM:CPD-15318;sabiork.compound:1473;sabiorkM:1473;seed.compound:cpd00101;seed.compound:cpd19028;seedM:M_cpd00101;seedM:M_cpd19028;seedM:cpd00101;seedM:cpd19028
MNXM1104266	acetyl-CoA	M_accoa_c	C23H34N7O17P3S	805.09667	-4	chebi:57288;CHEBI:15351;CHEBI:57288;SLM:000000297;bigg.metabolite:accoa;biggM:M_accoa;biggM:accoa;chebi:13712;chebi:15351;chebi:22192;chebi:2408;chebi:40470;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/57bd5e24-9d14-4b91-bc60-64c8ea6c2d11;envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/57bd5e24-9d14-4b91-bc60-64c8ea6c2d11;hmdb:HMDB0001206;hmdb:HMDB01206;inchikey:ZSLZBFCDCINBPY-ZSJPKINUSA-J;kegg.compound:C00024;keggC:C00024;keggC:M_C00024;lipidmaps:LMFA07050281;lipidmapsM:LMFA07050281;metacyc.compound:ACETYL-COA;metacycM:ACETYL-COA;reactome:R-ALL-113559;reactome:R-ALL-113560;reactome:R-ALL-353123;reactome:R-ALL-727753;reactome:R-ALL-76183;reactomeM:R-ALL-113559;reactomeM:R-ALL-113560;reactomeM:R-ALL-353123;reactomeM:R-ALL-727753;reactomeM:R-ALL-76183;sabiork.compound:1276;sabiorkM:1276;seed.compound:cpd00022;seedM:M_cpd00022;seedM:cpd00022;slm:000000297
MNXM1104491	6-phospho-D-glucono-1,5-lactone	M_6pgl_c	C6H9O9P	255.99952	-2	chebi:57955;CHEBI:16938;CHEBI:57955;bigg.metabolite:6pgl;biggM:6pgl;biggM:M_6pgl;chebi:12233;chebi:12958;chebi:16938;chebi:20989;chebi:4160;hmdb:HMDB0001127;hmdb:HMDB01127;inchikey:IJOJIVNDFQSGAB-SQOUGZDYSA-L;kegg.compound:C01236;keggC:C01236;keggC:M_C01236;metacyc.compound:D-6-P-GLUCONO-DELTA-LACTONE;metacycM:D-6-P-GLUCONO-DELTA-LACTONE;reactome:R-ALL-31467;reactomeM:R-ALL-31467;sabiork.compound:1366;sabiorkM:1366;seed.compound:cpd00911;seedM:M_cpd00911;seedM:cpd00911
MNXM1104774	succinyl-CoA	M_succoa_c	C25H35N7O19P3S	862.09487	-5	chebi:57292;CHEBI:15380;CHEBI:57292;SLM:000000891;bigg.metabolite:succoa;biggM:M_succoa;biggM:succoa;chebi:10746;chebi:15127;chebi:15380;chebi:26811;chebi:45541;chebi:9310;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/359075fb-98d9-458d-ba82-db4020e753f3;envipathM:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/359075fb-98d9-458d-ba82-db4020e753f3;hmdb:HMDB0001022;hmdb:HMDB01022;inchikey:VNOYUJKHFWYWIR-ITIYDSSPSA-I;kegg.compound:C00091;keggC:C00091;keggC:M_C00091;lipidmaps:LMFA07050370;lipidmapsM:LMFA07050370;metacyc.compound:SUC-COA;metacycM:SUC-COA;reactome:R-ALL-70958;reactomeM:R-ALL-70958;sabiork.compound:1931;sabiorkM:1931;seed.compound:cpd00078;seedM:M_cpd00078;seedM:cpd00078;slm:000000891;vmhmetabolite:succoa
MNXM1105810	beta-D-fructose	M_fru_e	C6H12O6	180.06339	0	chebi:28645;CHEBI:28645;bigg.metabolite:fru;biggM:M_fru;biggM:fru;chebi:10373;chebi:22766;chebi:42560;inchikey:RFSUNEUAIZKAJO-ARQDHWQXSA-N;kegg.compound:C02336;keggC:C02336;keggC:M_C02336;metacyc.compound:BETA-D-FRUCTOSE;metacycM:BETA-D-FRUCTOSE;sabiork.compound:1367;sabiork.compound:1463;sabiorkM:1367;sabiorkM:1463;seed.compound:cpd30321;seedM:M_cpd30321;seedM:cpd30321;vmhmetabolite:fru;vmhmetabolite:fuc132galacglcgal14acglcgalgluside_hs;vmhmetabolite:fuc13galacglcgal14acglcgalgluside_hs
